Eta;CompRatio;Algo
1;0.731685;algo(error=0)
1;0.169744;greedy
1;1;pred(error=0)
0.901;0.906811;algo(error=0)
0.901;0.169744;greedy
0.901;1;pred(error=0)
0.802;1;algo(error=0)
0.802;0.169744;greedy
0.802;1;pred(error=0)
0.703;1;algo(error=0)
0.703;0.169744;greedy
0.703;1;pred(error=0)
0.604;1;algo(error=0)
0.604;0.169744;greedy
0.604;1;pred(error=0)
0.505;1;algo(error=0)
0.505;0.169744;greedy
0.505;1;pred(error=0)
0.406;1;algo(error=0)
0.406;0.169744;greedy
0.406;1;pred(error=0)
0.307;1;algo(error=0)
0.307;0.169744;greedy
0.307;1;pred(error=0)
0.208;1;algo(error=0)
0.208;0.169744;greedy
0.208;1;pred(error=0)
0.109;1;algo(error=0)
0.109;0.169744;greedy
0.109;1;pred(error=0)
0.01;1;algo(error=0)
0.01;0.169744;greedy
0.01;1;pred(error=0)
1;0.731685;algo(error=0.30)
1;0.169744;greedy
1;0.69905;pred(error=0.30)
0.901;0.906811;algo(error=0.30)
0.901;0.169744;greedy
0.901;0.69905;pred(error=0.30)
0.802;0.800307;algo(error=0.30)
0.802;0.169744;greedy
0.802;0.69905;pred(error=0.30)
0.703;0.8798;algo(error=0.30)
0.703;0.169744;greedy
0.703;0.69905;pred(error=0.30)
0.604;0.8798;algo(error=0.30)
0.604;0.169744;greedy
0.604;0.69905;pred(error=0.30)
0.505;0.8798;algo(error=0.30)
0.505;0.169744;greedy
0.505;0.69905;pred(error=0.30)
0.406;0.8798;algo(error=0.30)
0.406;0.169744;greedy
0.406;0.69905;pred(error=0.30)
0.307;0.8798;algo(error=0.30)
0.307;0.169744;greedy
0.307;0.69905;pred(error=0.30)
0.208;0.8798;algo(error=0.30)
0.208;0.169744;greedy
0.208;0.69905;pred(error=0.30)
0.109;0.8798;algo(error=0.30)
0.109;0.169744;greedy
0.109;0.69905;pred(error=0.30)
0.01;0.8798;algo(error=0.30)
0.01;0.169744;greedy
0.01;0.69905;pred(error=0.30)
1;0.731685;algo(error=0.28)
1;0.169744;greedy
1;0.721879;pred(error=0.28)
0.901;0.906811;algo(error=0.28)
0.901;0.169744;greedy
0.901;0.721879;pred(error=0.28)
0.802;0.830369;algo(error=0.28)
0.802;0.169744;greedy
0.802;0.721879;pred(error=0.28)
0.703;0.916268;algo(error=0.28)
0.703;0.169744;greedy
0.703;0.721879;pred(error=0.28)
0.604;0.916268;algo(error=0.28)
0.604;0.169744;greedy
0.604;0.721879;pred(error=0.28)
0.505;0.916268;algo(error=0.28)
0.505;0.169744;greedy
0.505;0.721879;pred(error=0.28)
0.406;0.916268;algo(error=0.28)
0.406;0.169744;greedy
0.406;0.721879;pred(error=0.28)
0.307;0.916268;algo(error=0.28)
0.307;0.169744;greedy
0.307;0.721879;pred(error=0.28)
0.208;0.916268;algo(error=0.28)
0.208;0.169744;greedy
0.208;0.721879;pred(error=0.28)
0.109;0.916268;algo(error=0.28)
0.109;0.169744;greedy
0.109;0.721879;pred(error=0.28)
0.01;0.916268;algo(error=0.28)
0.01;0.169744;greedy
0.01;0.721879;pred(error=0.28)
