N;M;K;objective;type;color;
10;10;10;2.93;MWU;#1f77b4
10;10;10;2.19;CRA;#ff7f0e
20;20;10;3.60;MWU;#1f77b4
20;20;10;2.27;CRA;#ff7f0e
30;30;10;4.00;MWU;#1f77b4
30;30;10;2.30;CRA;#ff7f0e
40;40;10;4.28;MWU;#1f77b4
40;40;10;2.37;CRA;#ff7f0e
50;50;10;4.50;MWU;#1f77b4
50;50;10;2.38;CRA;#ff7f0e
10;10;20;2.93;MWU;#1f77b4
10;10;20;2.20;CRA;#ff7f0e
20;20;20;3.60;MWU;#1f77b4
20;20;20;2.27;CRA;#ff7f0e
30;30;20;4.00;MWU;#1f77b4
30;30;20;2.30;CRA;#ff7f0e
40;40;20;4.28;MWU;#1f77b4
40;40;20;2.31;CRA;#ff7f0e
50;50;20;4.50;MWU;#1f77b4
50;50;20;2.32;CRA;#ff7f0e
10;10;30;2.93;MWU;#1f77b4
10;10;30;2.20;CRA;#ff7f0e
20;20;30;3.60;MWU;#1f77b4
20;20;30;2.27;CRA;#ff7f0e
30;30;30;4.00;MWU;#1f77b4
30;30;30;2.30;CRA;#ff7f0e
40;40;30;4.28;MWU;#1f77b4
40;40;30;2.31;CRA;#ff7f0e
50;50;30;4.50;MWU;#1f77b4
50;50;30;3.17;CRA;#ff7f0e
10;10;40;2.93;MWU;#1f77b4
10;10;40;2.20;CRA;#ff7f0e
20;20;40;3.60;MWU;#1f77b4
20;20;40;2.27;CRA;#ff7f0e
30;30;40;4.00;MWU;#1f77b4
30;30;40;2.30;CRA;#ff7f0e
40;40;40;4.28;MWU;#1f77b4
40;40;40;2.32;CRA;#ff7f0e
50;50;40;4.50;MWU;#1f77b4
50;50;40;2.32;CRA;#ff7f0e
10;10;50;2.93;MWU;#1f77b4
10;10;50;2.20;CRA;#ff7f0e
20;20;50;3.60;MWU;#1f77b4
20;20;50;2.27;CRA;#ff7f0e
30;30;50;4.00;MWU;#1f77b4
30;30;50;2.30;CRA;#ff7f0e
40;40;50;4.28;MWU;#1f77b4
40;40;50;2.31;CRA;#ff7f0e
50;50;50;4.50;MWU;#1f77b4
50;50;50;2.32;CRA;#ff7f0e
